date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:42	3042/3042	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220066d8407e9907aecdef35842974312f%22	https://boostroyal.fr/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/safari-pinned-tab.svg	(from https://boostroyal.fr/)
19:00:42	41436/41436	---M-Z	200	added ('OK')	application/javascript	etag:%2280df77953384d91:0%22	https://bat.bing.com/bat.js	C:/My%20Web%20Sites/lol%20boosting/bat.bing.com/bat.js	(from https://boostroyal.fr/)
19:00:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:12%20GMT	http://boostroyal.fr/~partytown/debug/partytown.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/_partytown/debug/partytown.c.delayed	(from https://boostroyal.fr/)
19:00:42	3481/3481	---MCZ	200	added ('OK')	application/javascript	etag:W/%220080a745da66c15de5e62c603be9251e%22	https://boostroyal.fr/~partytown/debug/partytown.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/_partytown/debug/partytown.js	(from https://boostroyal.fr/)
19:00:43	108445/108445	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Jun%202023%2018:00:13%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/lol%20boosting/connect.facebook.net/en_US/fbevents.js	(from https://boostroyal.fr/)
19:00:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:14%20GMT	http://boostroyal.fr/styles.484ebcca2ea231cc.css	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/styles.484ebcca2ea231cc.10.delayed	(from https://boostroyal.fr/)
19:00:44	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226476145d-302c%22	http://boostroyal.fr/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://boostroyal.fr/)
19:00:44	59714/59714	---MCZ	200	added ('OK')	text/css	etag:W/%2273a65c4d26a7ad6bd8983036e0ea6252%22	https://boostroyal.fr/styles.484ebcca2ea231cc.css	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/styles.484ebcca2ea231cc.css	(from https://boostroyal.fr/)
19:00:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:15%20GMT	http://boostroyal.fr/assets/images/new/logo-icon.svg?v=3	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/assets/images/new/logo-icon.1330f4.delayed	(from https://boostroyal.fr/)
19:00:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:16%20GMT	http://boostroyal.fr/checkout/payment	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/checkout/payment.15.delayed	(from https://boostroyal.fr/)
19:00:45	677/677	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d3f3cd1d51dd77826e01df4c1dde241%22	https://boostroyal.fr/assets/images/new/logo-icon.svg?v=3	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/assets/images/new/logo-icon30f4.svg	(from https://boostroyal.fr/)
19:00:46	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:16%20GMT	https://boostroyal.fr/checkout/payment	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/checkout/payment	(from https://boostroyal.fr/)
19:00:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:16%20GMT	http://boostroyal.fr/boosters/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/boosters/index.html	(from https://boostroyal.fr/)
19:00:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:16%20GMT	http://boostroyal.fr/assets/images/new/new-home-slider-bg.jpg?v=2	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/assets/images/new/new-home-slider-bg.175e1f.delayed	(from https://boostroyal.fr/)
19:00:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:16%20GMT	http://boostroyal.fr/boostroyal-premium/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/boostroyal-premium/index.html	(from https://boostroyal.fr/)
